Hour,Minute,Second,millisecond,Pump,Action
14,4,52,12,Pump 1,Run
14,4,52,105,Pump 2,Pump 2 Stop Response: :
14,4,52,106,Pump 1,Pump 1 Run Response: >
14,4,52,329,Pump 1,Stop
14,4,52,330,Pump 2,Run
14,4,52,422,Pump 1,Pump 1 Stop Response: :
14,4,52,422,Pump 2,Pump 2 Run Response: >
14,4,53,906,Pump 2,Stop
14,4,53,908,Pump 1,Run
14,4,54,10,Pump 2,Pump 2 Stop Response: :
14,4,54,10,Pump 1,Pump 1 Run Response: >
14,4,54,223,Pump 1,Stop
14,4,54,224,Pump 2,Run
14,4,54,326,Pump 1,Pump 1 Stop Response: :
14,4,54,326,Pump 2,Pump 2 Run Response: >
14,4,55,812,Pump 2,Stop
14,4,55,813,Pump 1,Run
14,4,55,905,Pump 2,Pump 2 Stop Response: :
14,4,55,905,Pump 1,Pump 1 Run Response: >
14,4,56,129,Pump 1,Stop
14,4,56,130,Pump 2,Run
14,4,56,222,Pump 1,Pump 1 Stop Response: :
14,4,56,222,Pump 2,Pump 2 Run Response: >
14,4,57,712,Pump 2,Stop
14,4,57,712,Pump 1,Run
14,4,57,813,Pump 2,Pump 2 Stop Response: :
14,4,57,814,Pump 1,Pump 1 Run Response: >
14,4,58,25,Pump 1,Stop
14,4,58,26,Pump 2,Run
14,4,58,127,Pump 1,Pump 1 Stop Response: :
14,4,58,127,Pump 2,Pump 2 Run Response: >
14,4,59,608,Pump 2,Stop
14,4,59,608,Pump 1,Run
14,4,59,710,Pump 2,Pump 2 Stop Response: :
14,4,59,710,Pump 1,Pump 1 Run Response: >
14,4,59,923,Pump 1,Stop
14,4,59,923,Pump 2,Run
14,5,0,26,Pump 1,Pump 1 Stop Response: :
14,5,0,26,Pump 2,Pump 2 Run Response: >
14,5,1,507,Pump 2,Stop
14,5,1,507,Pump 1,Run
14,5,1,609,Pump 2,Pump 2 Stop Response: :
14,5,1,609,Pump 1,Pump 1 Run Response: >
14,5,1,822,Pump 1,Stop
14,5,1,823,Pump 2,Run
14,5,1,927,Pump 1,Pump 1 Stop Response: :
14,5,1,927,Pump 2,Pump 2 Run Response: >
14,5,3,408,Pump 2,Stop
14,5,3,408,Pump 1,Run
14,5,3,509,Pump 2,Pump 2 Stop Response: :
14,5,3,510,Pump 1,Pump 1 Run Response: >
14,5,3,721,Pump 1,Stop
14,5,3,722,Pump 2,Run
14,5,3,823,Pump 1,Pump 1 Stop Response: :
14,5,3,824,Pump 2,Pump 2 Run Response: >
14,5,5,314,Pump 2,Stop
14,5,5,315,Pump 1,Run
14,5,5,406,Pump 2,Pump 2 Stop Response: :
14,5,5,406,Pump 1,Pump 1 Run Response: >
