Hour,Minute,Second,millisecond,Device,DeviceNumAction
15,21,23,406,pump0,infuse
15,21,23,589,pump0,stop
15,21,23,591,pump1,infuse
15,21,23,768,pump1,stop
15,21,23,769,pump0,infuse
15,21,23,947,pump0,stop
15,21,23,949,pump1,infuse
15,21,24,128,pump1,stop
15,21,24,129,pump0,infuse
15,21,24,307,pump0,stop
15,21,24,308,pump1,infuse
15,21,24,487,pump1,stop
15,21,24,488,pump0,infuse
15,21,24,667,pump0,stop
15,21,24,669,pump1,infuse
15,21,24,849,pump1,stop
15,21,24,850,pump0,infuse
15,21,25,28,pump0,stop
15,21,25,30,pump1,infuse
15,21,25,209,pump1,stop
15,21,25,213,pump0,infuse
15,21,25,387,pump0,stop
15,21,25,388,pump1,infuse
15,21,25,567,pump1,stop
15,21,25,569,pump0,infuse
15,21,25,748,pump0,stop
15,21,25,750,pump1,infuse
15,21,25,927,pump1,stop
15,21,25,929,pump0,infuse
15,21,26,108,pump0,stop
15,21,26,109,pump1,infuse
15,21,26,289,pump1,stop
15,21,26,290,pump0,infuse
15,21,26,467,pump0,stop
15,21,26,468,pump1,infuse
15,21,26,648,pump1,stop
15,21,26,649,pump0,infuse
15,21,26,828,pump0,stop
15,21,26,829,pump1,infuse
15,21,27,8,pump1,stop
15,21,27,10,pump0,infuse
15,21,27,188,pump0,stop
15,21,27,189,pump1,infuse
15,21,27,368,pump1,stop
15,21,27,370,pump0,infuse
15,21,27,547,pump0,stop
15,21,27,548,pump1,infuse
15,21,27,726,pump1,stop
15,21,27,728,pump0,infuse
15,21,27,908,pump0,stop
15,21,27,911,pump1,infuse
15,21,28,89,pump1,stop
15,21,28,90,pump0,infuse
15,21,28,267,pump0,stop
15,21,28,269,pump1,infuse
15,21,28,447,pump1,stop
15,21,28,449,pump0,infuse
15,21,28,627,pump0,stop
15,21,28,629,pump1,infuse
15,21,28,807,pump1,stop
15,21,28,808,pump0,infuse
15,21,28,987,pump0,stop
15,21,28,988,pump1,infuse
15,21,29,167,pump1,stop
15,21,29,169,pump0,infuse
15,21,29,348,pump0,stop
15,21,29,349,pump1,infuse
15,21,29,528,pump1,stop
15,21,29,529,pump0,infuse
15,21,29,708,pump0,stop
15,21,29,710,pump1,infuse
15,21,29,888,pump1,stop
15,21,29,890,pump0,infuse
15,21,30,68,pump0,stop
15,21,30,70,pump1,infuse
15,21,30,247,pump1,stop
15,21,30,248,pump0,infuse
15,21,30,427,pump0,stop
15,21,30,429,pump1,infuse
15,21,30,608,pump1,stop
15,21,30,610,pump0,infuse
15,21,30,789,pump0,stop
15,21,30,791,pump1,infuse
15,21,30,969,pump1,stop
15,21,30,970,pump0,infuse
15,21,31,148,pump0,stop
15,21,31,149,pump1,infuse
15,21,31,328,pump1,stop
15,21,31,329,pump0,infuse
15,21,31,509,pump0,stop
15,21,31,510,pump1,infuse
15,21,31,688,pump1,stop
15,21,31,690,pump0,infuse
15,21,31,867,pump0,stop
15,21,31,868,pump1,infuse
15,21,32,48,pump1,stop
15,21,32,50,pump0,infuse
15,21,32,228,pump0,stop
15,21,32,228,pump1,infuse
15,21,32,407,pump1,stop
15,21,32,408,pump0,infuse
15,21,32,589,pump0,stop
15,21,32,590,pump1,infuse
15,21,32,767,pump1,stop
15,21,32,768,pump0,infuse
15,21,32,948,pump0,stop
15,21,32,949,pump1,infuse
15,21,33,127,pump1,stop
15,21,33,128,pump0,infuse
15,21,33,308,pump0,stop
15,21,33,309,pump1,infuse
15,21,33,488,pump1,stop
15,21,33,489,pump0,infuse
15,21,33,667,pump0,stop
15,21,33,668,pump1,infuse
15,21,33,849,pump1,stop
15,21,33,850,pump0,infuse
15,21,34,28,pump0,stop
15,21,34,29,pump1,infuse
15,21,34,208,pump1,stop
15,21,34,209,pump0,infuse
15,21,34,389,pump0,stop
15,21,34,391,pump1,infuse
15,21,34,568,pump1,stop
15,21,34,569,pump0,infuse
15,21,34,748,pump0,stop
15,21,34,749,pump1,infuse
15,21,34,928,pump1,stop
15,21,34,929,pump0,infuse
15,21,35,108,pump0,stop
15,21,35,110,pump1,infuse
15,21,35,288,pump1,stop
15,21,35,289,pump0,infuse
15,21,35,467,pump0,stop
15,21,35,469,pump1,infuse
15,21,35,646,pump1,stop
15,21,35,648,pump0,infuse
15,21,35,828,pump0,stop
15,21,35,828,pump1,infuse
15,21,36,7,pump1,stop
15,21,36,8,pump0,infuse
15,21,36,187,pump0,stop
15,21,36,188,pump1,infuse
15,21,36,367,pump1,stop
15,21,36,368,pump0,infuse
15,21,36,548,pump0,stop
15,21,36,550,pump1,infuse
15,21,36,727,pump1,stop
15,21,36,728,pump0,infuse
15,21,36,908,pump0,stop
15,21,36,909,pump1,infuse
15,21,37,87,pump1,stop
15,21,37,88,pump0,infuse
15,21,37,266,pump0,stop
15,21,37,268,pump1,infuse
15,21,37,449,pump1,stop
15,21,37,450,pump0,infuse
15,21,37,628,pump0,stop
15,21,37,629,pump1,infuse
15,21,37,808,pump1,stop
15,21,37,809,pump0,infuse
15,21,37,987,pump0,stop
15,21,37,987,pump1,infuse
15,21,38,169,pump1,stop
15,21,38,169,pump0,infuse
15,21,38,349,pump0,stop
15,21,38,350,pump1,infuse
15,21,38,528,pump1,stop
15,21,38,530,pump0,infuse
15,21,38,708,pump0,stop
15,21,38,710,pump1,infuse
15,21,38,888,pump1,stop
15,21,38,890,pump0,infuse
15,21,39,67,pump0,stop
15,21,39,69,pump1,infuse
15,21,39,248,pump1,stop
15,21,39,249,pump0,infuse
15,21,39,428,pump0,stop
15,21,39,429,pump1,infuse
15,21,39,607,pump1,stop
15,21,39,608,pump0,infuse
15,21,39,787,pump0,stop
15,21,39,788,pump1,infuse
15,21,39,968,pump1,stop
15,21,39,969,pump0,infuse
15,21,40,148,pump0,stop
15,21,40,150,pump1,infuse
15,21,40,327,pump1,stop
15,21,40,329,pump0,infuse
15,21,40,509,pump0,stop
15,21,40,511,pump1,infuse
15,21,40,687,pump1,stop
15,21,40,688,pump0,infuse
15,21,40,867,pump0,stop
15,21,40,868,pump1,infuse
15,21,41,48,pump1,stop
15,21,41,50,pump0,infuse
15,21,41,229,pump0,stop
15,21,41,230,pump1,infuse
15,21,41,409,pump1,stop
15,21,41,410,pump0,infuse
15,21,41,587,pump0,stop
15,21,41,589,pump1,infuse
15,21,41,768,pump1,stop
15,21,41,769,pump0,infuse
15,21,41,948,pump0,stop
15,21,41,949,pump1,infuse
15,21,42,127,pump1,stop
15,21,42,128,pump0,infuse
15,21,42,308,pump0,stop
15,21,42,309,pump1,infuse
15,21,42,489,pump1,stop
15,21,42,491,pump0,infuse
15,21,42,668,pump0,stop
15,21,42,669,pump1,infuse
15,21,42,849,pump1,stop
15,21,42,850,pump0,infuse
15,21,43,28,pump0,stop
15,21,43,29,pump1,infuse
15,21,43,208,pump1,stop
15,21,43,209,pump0,infuse
15,21,43,387,pump0,stop
15,21,43,388,pump1,infuse
15,21,43,567,pump1,stop
15,21,43,569,pump0,infuse
15,21,43,747,pump0,stop
15,21,43,749,pump1,infuse
15,21,43,928,pump1,stop
15,21,43,929,pump0,infuse
15,21,44,108,pump0,stop
15,21,44,110,pump1,infuse
15,21,44,287,pump1,stop
15,21,44,288,pump0,infuse
15,21,44,468,pump0,stop
15,21,44,469,pump1,infuse
15,21,44,649,pump1,stop
15,21,44,649,pump0,infuse
15,21,44,828,pump0,stop
15,21,44,829,pump1,infuse
15,21,45,8,pump1,stop
15,21,45,9,pump0,infuse
15,21,45,189,pump0,stop
15,21,45,191,pump1,infuse
15,21,45,368,pump1,stop
15,21,45,369,pump0,infuse
15,21,45,548,pump0,stop
15,21,45,549,pump1,infuse
15,21,45,728,pump1,stop
15,21,45,729,pump0,infuse
15,21,45,908,pump0,stop
15,21,45,909,pump1,infuse
15,21,46,89,pump1,stop
15,21,46,90,pump0,infuse
15,21,46,268,pump0,stop
15,21,46,269,pump1,infuse
15,21,46,448,pump1,stop
15,21,46,449,pump0,infuse
15,21,46,627,pump0,stop
15,21,46,629,pump1,infuse
15,21,46,807,pump1,stop
15,21,46,809,pump0,infuse
15,21,46,988,pump0,stop
15,21,46,989,pump1,infuse
15,21,47,167,pump1,stop
15,21,47,168,pump0,infuse
15,21,47,348,pump0,stop
15,21,47,349,pump1,infuse
15,21,47,528,pump1,stop
15,21,47,529,pump0,infuse
15,21,47,707,pump0,stop
15,21,47,708,pump1,infuse
15,21,47,888,pump1,stop
15,21,47,889,pump0,infuse
15,21,48,67,pump0,stop
15,21,48,69,pump1,infuse
15,21,48,247,pump1,stop
15,21,48,248,pump0,infuse
15,21,48,429,pump0,stop
15,21,48,430,pump1,infuse
15,21,48,608,pump1,stop
15,21,48,609,pump0,infuse
15,21,48,788,pump0,stop
15,21,48,789,pump1,infuse
15,21,48,966,pump1,stop
15,21,48,968,pump0,infuse
15,21,49,148,pump0,stop
15,21,49,148,pump1,infuse
15,21,49,329,pump1,stop
15,21,49,330,pump0,infuse
15,21,49,508,pump0,stop
15,21,49,508,pump1,infuse
15,21,49,687,pump1,stop
15,21,49,688,pump0,infuse
15,21,49,869,pump0,stop
15,21,49,870,pump1,infuse
15,21,50,48,pump1,stop
15,21,50,49,pump0,infuse
15,21,50,228,pump0,stop
15,21,50,230,pump1,infuse
15,21,50,407,pump1,stop
15,21,50,409,pump0,infuse
15,21,50,589,pump0,stop
15,21,50,591,pump1,infuse
15,21,50,767,pump1,stop
15,21,50,768,pump0,infuse
15,21,50,948,pump0,stop
15,21,50,949,pump1,infuse
15,21,51,128,pump1,stop
15,21,51,129,pump0,infuse
15,21,51,308,pump0,stop
15,21,51,309,pump1,infuse
15,21,51,489,pump1,stop
15,21,51,489,pump0,infuse
15,21,51,669,pump0,stop
15,21,51,670,pump1,infuse
15,21,51,848,pump1,stop
15,21,51,849,pump0,infuse
15,21,52,28,pump0,stop
15,21,52,29,pump1,infuse
15,21,52,209,pump1,stop
15,21,52,209,pump0,infuse
15,21,52,387,pump0,stop
15,21,52,389,pump1,infuse
15,21,52,574,pump1,stop
15,21,52,575,pump0,infuse
15,21,52,748,pump0,stop
15,21,52,750,pump1,infuse
15,21,52,928,pump1,stop
15,21,52,929,pump0,infuse
15,21,53,108,pump0,stop
15,21,53,109,pump1,infuse
15,21,53,289,pump1,stop
15,21,53,291,pump0,infuse
15,21,53,466,pump0,stop
15,21,53,468,pump1,infuse
15,21,53,647,pump1,stop
15,21,53,648,pump0,infuse
15,21,53,827,pump0,stop
15,21,53,829,pump1,infuse
15,21,54,8,pump1,stop
15,21,54,9,pump0,infuse
15,21,54,187,pump0,stop
15,21,54,188,pump1,infuse
15,21,54,368,pump1,stop
15,21,54,369,pump0,infuse
15,21,54,548,pump0,stop
15,21,54,549,pump1,infuse
15,21,54,728,pump1,stop
15,21,54,730,pump0,infuse
15,21,54,909,pump0,stop
15,21,54,910,pump1,infuse
15,21,55,87,pump1,stop
15,21,55,88,pump0,infuse
15,21,55,268,pump0,stop
15,21,55,269,pump1,infuse
15,21,55,448,pump1,stop
15,21,55,449,pump0,infuse
15,21,55,629,pump0,stop
15,21,55,630,pump1,infuse
15,21,55,808,pump1,stop
15,21,55,810,pump0,infuse
15,21,55,988,pump0,stop
15,21,55,989,pump1,infuse
15,21,56,167,pump1,stop
15,21,56,169,pump0,infuse
15,21,56,348,pump0,stop
15,21,56,349,pump1,infuse
15,21,56,529,pump1,stop
15,21,56,530,pump0,infuse
15,21,56,707,pump0,stop
15,21,56,708,pump1,infuse
15,21,56,889,pump1,stop
15,21,56,890,pump0,infuse
15,21,57,69,pump0,stop
15,21,57,69,pump1,infuse
15,21,57,247,pump1,stop
15,21,57,250,pump0,infuse
15,21,57,427,pump0,stop
15,21,57,429,pump1,infuse
15,21,57,608,pump1,stop
15,21,57,609,pump0,infuse
15,21,57,787,pump0,stop
15,21,57,788,pump1,infuse
15,21,57,967,pump1,stop
15,21,57,969,pump0,infuse
15,21,58,148,pump0,stop
15,21,58,149,pump1,infuse
15,21,58,327,pump1,stop
15,21,58,328,pump0,infuse
15,21,58,507,pump0,stop
15,21,58,509,pump1,infuse
15,21,58,688,pump1,stop
15,21,58,689,pump0,infuse
15,21,58,869,pump0,stop
15,21,58,870,pump1,infuse
15,21,59,47,pump1,stop
15,21,59,48,pump0,infuse
15,21,59,227,pump0,stop
15,21,59,228,pump1,infuse
15,21,59,407,pump1,stop
15,21,59,408,pump0,infuse
15,21,59,587,pump0,stop
15,21,59,588,pump1,infuse
15,21,59,770,pump1,stop
15,21,59,770,pump0,infuse
15,21,59,948,pump0,stop
15,21,59,949,pump1,infuse
15,22,0,128,pump1,stop
15,22,0,129,pump0,infuse
15,22,0,309,pump0,stop
15,22,0,311,pump1,infuse
15,22,0,487,pump1,stop
15,22,0,488,pump0,infuse
15,22,0,667,pump0,stop
15,22,0,669,pump1,infuse
15,22,0,847,pump1,stop
15,22,0,849,pump0,infuse
15,22,1,27,pump0,stop
15,22,1,29,pump1,infuse
15,22,1,207,pump1,stop
15,22,1,209,pump0,infuse
15,22,1,388,pump0,stop
15,22,1,390,pump1,infuse
15,22,1,566,pump1,stop
15,22,1,568,pump0,infuse
15,22,1,747,pump0,stop
15,22,1,749,pump1,infuse
15,22,1,927,pump1,stop
15,22,1,929,pump0,infuse
15,22,2,109,pump0,stop
15,22,2,110,pump1,infuse
15,22,2,289,pump1,stop
15,22,2,291,pump0,infuse
15,22,2,467,pump0,stop
15,22,2,469,pump1,infuse
15,22,2,647,pump1,stop
15,22,2,648,pump0,infuse
15,22,2,828,pump0,stop
15,22,2,829,pump1,infuse
15,22,3,7,pump1,stop
15,22,3,8,pump0,infuse
15,22,3,187,pump0,stop
15,22,3,189,pump1,infuse
15,22,3,367,pump1,stop
15,22,3,369,pump0,infuse
15,22,3,548,pump0,stop
15,22,3,550,pump1,infuse
15,22,3,727,pump1,stop
15,22,3,728,pump0,infuse
15,22,3,908,pump0,stop
15,22,3,909,pump1,infuse
15,22,4,88,pump1,stop
15,22,4,89,pump0,infuse
15,22,4,268,pump0,stop
15,22,4,269,pump1,infuse
15,22,4,446,pump1,stop
15,22,4,448,pump0,infuse
15,22,4,629,pump0,stop
15,22,4,629,pump1,infuse
15,22,4,807,pump1,stop
15,22,4,808,pump0,infuse
15,22,4,988,pump0,stop
15,22,4,988,pump1,infuse
15,22,5,168,pump1,stop
15,22,5,169,pump0,infuse
15,22,5,348,pump0,stop
15,22,5,349,pump1,infuse
15,22,5,527,pump1,stop
15,22,5,528,pump0,infuse
15,22,5,706,pump0,stop
15,22,5,708,pump1,infuse
15,22,5,886,pump1,stop
15,22,5,888,pump0,infuse
15,22,6,68,pump0,stop
15,22,6,70,pump1,infuse
15,22,6,247,pump1,stop
15,22,6,248,pump0,infuse
15,22,6,429,pump0,stop
15,22,6,430,pump1,infuse
15,22,6,608,pump1,stop
15,22,6,610,pump0,infuse
15,22,6,788,pump0,stop
15,22,6,790,pump1,infuse
15,22,6,967,pump1,stop
15,22,6,968,pump0,infuse
15,22,7,148,pump0,stop
15,22,7,149,pump1,infuse
15,22,7,328,pump1,stop
15,22,7,330,pump0,infuse
15,22,7,508,pump0,stop
15,22,7,509,pump1,infuse
15,22,7,688,pump1,stop
15,22,7,690,pump0,infuse
15,22,7,867,pump0,stop
15,22,7,868,pump1,infuse
15,22,8,47,pump1,stop
15,22,8,49,pump0,infuse
15,22,8,228,pump0,stop
15,22,8,229,pump1,infuse
15,22,8,408,pump1,stop
15,22,8,410,pump0,infuse
15,22,8,589,pump0,stop
15,22,8,589,pump1,infuse
15,22,8,769,pump1,stop
15,22,8,770,pump0,infuse
15,22,8,948,pump0,stop
15,22,8,949,pump1,infuse
15,22,9,128,pump1,stop
15,22,9,132,pump0,infuse
15,22,9,308,pump0,stop
15,22,9,310,pump1,infuse
15,22,9,488,pump1,stop
15,22,9,489,pump0,infuse
15,22,9,667,pump0,stop
15,22,9,669,pump1,infuse
15,22,9,848,pump1,stop
15,22,9,849,pump0,infuse
15,22,10,28,pump0,stop
15,22,10,29,pump1,infuse
15,22,10,208,pump1,stop
15,22,10,210,pump0,infuse
15,22,10,388,pump0,stop
15,22,10,389,pump1,infuse
15,22,10,567,pump1,stop
15,22,10,569,pump0,infuse
15,22,10,748,pump0,stop
15,22,10,749,pump1,infuse
15,22,10,929,pump1,stop
15,22,10,930,pump0,infuse
15,22,11,108,pump0,stop
15,22,11,108,pump1,infuse
15,22,11,287,pump1,stop
15,22,11,288,pump0,infuse
15,22,11,468,pump0,stop
15,22,11,469,pump1,infuse
15,22,11,647,pump1,stop
15,22,11,649,pump0,infuse
15,22,11,827,pump0,stop
15,22,11,829,pump1,infuse
15,22,12,7,pump1,stop
15,22,12,8,pump0,infuse
15,22,12,188,pump0,stop
15,22,12,188,pump1,infuse
15,22,12,368,pump1,stop
15,22,12,369,pump0,infuse
15,22,12,549,pump0,stop
15,22,12,550,pump1,infuse
15,22,12,729,pump1,stop
15,22,12,729,pump0,infuse
15,22,12,907,pump0,stop
15,22,12,908,pump1,infuse
15,22,13,87,pump1,stop
15,22,13,88,pump0,infuse
15,22,13,267,pump0,stop
15,22,13,268,pump1,infuse
15,22,13,447,pump1,stop
15,22,13,448,pump0,infuse
15,22,13,628,pump0,stop
15,22,13,629,pump1,infuse
15,22,13,807,pump1,stop
15,22,13,809,pump0,infuse
15,22,13,988,pump0,stop
15,22,13,989,pump1,infuse
15,22,14,168,pump1,stop
15,22,14,169,pump0,infuse
15,22,14,347,pump0,stop
15,22,14,348,pump1,infuse
15,22,14,527,pump1,stop
15,22,14,529,pump0,infuse
15,22,14,707,pump0,stop
15,22,14,708,pump1,infuse
15,22,14,888,pump1,stop
15,22,14,889,pump0,infuse
15,22,15,67,pump0,stop
15,22,15,68,pump1,infuse
15,22,15,246,pump1,stop
15,22,15,248,pump0,infuse
15,22,15,428,pump0,stop
15,22,15,430,pump1,infuse
15,22,15,607,pump1,stop
15,22,15,609,pump0,infuse
15,22,15,787,pump0,stop
15,22,15,789,pump1,infuse
15,22,15,967,pump1,stop
15,22,15,968,pump0,infuse
15,22,16,149,pump0,stop
15,22,16,150,pump1,infuse
15,22,16,327,pump1,stop
15,22,16,328,pump0,infuse
15,22,16,506,pump0,stop
15,22,16,508,pump1,infuse
15,22,16,689,pump1,stop
15,22,16,689,pump0,infuse
15,22,16,868,pump0,stop
15,22,16,869,pump1,infuse
15,22,17,47,pump1,stop
15,22,17,48,pump0,infuse
15,22,17,227,pump0,stop
15,22,17,229,pump1,infuse
15,22,17,407,pump1,stop
15,22,17,408,pump0,infuse
15,22,17,587,pump0,stop
15,22,17,589,pump1,infuse
15,22,17,768,pump1,stop
15,22,17,769,pump0,infuse
15,22,17,947,pump0,stop
15,22,17,948,pump1,infuse
15,22,18,128,pump1,stop
15,22,18,130,pump0,infuse
15,22,18,308,pump0,stop
15,22,18,309,pump1,infuse
15,22,18,487,pump1,stop
15,22,18,488,pump0,infuse
15,22,18,672,pump0,stop
15,22,18,673,pump1,infuse
15,22,18,847,pump1,stop
15,22,18,848,pump0,infuse
15,22,19,28,pump0,stop
15,22,19,30,pump1,infuse
15,22,19,207,pump1,stop
15,22,19,208,pump0,infuse
15,22,19,388,pump0,stop
15,22,19,389,pump1,infuse
15,22,19,568,pump1,stop
15,22,19,569,pump0,infuse
15,22,19,749,pump0,stop
15,22,19,751,pump1,infuse
15,22,19,927,pump1,stop
15,22,19,928,pump0,infuse
15,22,20,108,pump0,stop
15,22,20,109,pump1,infuse
15,22,20,288,pump1,stop
15,22,20,289,pump0,infuse
15,22,20,467,pump0,stop
15,22,20,468,pump1,infuse
15,22,20,647,pump1,stop
15,22,20,648,pump0,infuse
15,22,20,828,pump0,stop
15,22,20,829,pump1,infuse
15,22,21,8,pump1,stop
15,22,21,9,pump0,infuse
15,22,21,188,pump0,stop
15,22,21,190,pump1,infuse
15,22,21,367,pump1,stop
15,22,21,369,pump0,infuse
15,22,21,548,pump0,stop
15,22,21,549,pump1,infuse
15,22,21,727,pump1,stop
15,22,21,728,pump0,infuse
15,22,21,908,pump0,stop
15,22,21,909,pump1,infuse
15,22,22,88,pump1,stop
15,22,22,89,pump0,infuse
15,22,22,268,pump0,stop
15,22,22,269,pump1,infuse
15,22,22,447,pump1,stop
15,22,22,449,pump0,infuse
15,22,22,627,pump0,stop
15,22,22,628,pump1,infuse
15,22,22,809,pump1,stop
15,22,22,811,pump0,infuse
15,22,22,989,pump0,stop
15,22,22,990,pump1,infuse
15,22,23,167,pump1,stop
15,22,23,169,pump0,infuse
15,22,23,347,pump0,stop
15,22,23,349,pump1,infuse
15,22,23,527,pump1,stop
15,22,23,529,pump0,infuse
15,22,23,709,pump0,stop
15,22,23,710,pump1,infuse
15,22,23,888,pump1,stop
15,22,23,890,pump0,infuse
15,22,24,69,pump0,stop
15,22,24,70,pump1,infuse
15,22,24,248,pump1,stop
15,22,24,249,pump0,infuse
15,22,24,428,pump0,stop
15,22,24,429,pump1,infuse
15,22,24,609,pump1,stop
15,22,24,610,pump0,infuse
15,22,24,788,pump0,stop
15,22,24,789,pump1,infuse
15,22,24,969,pump1,stop
15,22,24,970,pump0,infuse
15,22,25,148,pump0,stop
15,22,25,149,pump1,infuse
15,22,25,327,pump1,stop
15,22,25,328,pump0,infuse
15,22,25,508,pump0,stop
15,22,25,509,pump1,infuse
15,22,25,688,pump1,stop
15,22,25,690,pump0,infuse
15,22,25,868,pump0,stop
15,22,25,869,pump1,infuse
15,22,26,48,pump1,stop
15,22,26,49,pump0,infuse
15,22,26,227,pump0,stop
15,22,26,228,pump1,infuse
15,22,26,408,pump1,stop
15,22,26,409,pump0,infuse
15,22,26,588,pump0,stop
15,22,26,589,pump1,infuse
15,22,26,768,pump1,stop
