Hour,Minute,Second,millisecond,Device,DeviceNumAction
16,25,54,802,Pump 0,Response: :
16,25,54,903,Pump 0,Response: :
16,25,55,4,Pump 1,Response: :
16,25,55,105,Pump 1,Response: :
16,25,55,106,pump 0,infuse
16,25,55,106,valve 0,open
16,25,55,106,valve 2,open
16,25,55,116,Pump 0,Response: 
16,25,55,985,valve 1,open
16,25,56,6,pump 0,stop
16,25,56,6,pump 1,infuse
16,25,56,6,valve 3,open
16,25,56,16,Pump 0,"Response: >
:"
16,25,56,16,Pump 1,Response: 
16,25,56,25,valve 0,close
16,25,56,26,valve 2,close
16,25,56,885,valve 0,open
16,25,56,886,valve 0,close
16,25,56,886,valve 0,open
16,25,56,886,valve 0,close
16,25,56,886,valve 0,open
16,25,56,886,valve 0,close
16,25,56,886,valve 0,open
16,25,56,886,valve 0,close
16,25,56,886,valve 0,open
16,25,56,886,valve 0,close
16,25,56,887,valve 0,open
16,25,56,887,valve 0,close
16,25,56,887,valve 0,open
16,25,56,887,valve 0,close
16,25,56,887,valve 0,open
16,25,56,887,valve 0,close
16,25,56,887,valve 0,open
16,25,56,887,valve 0,close
16,25,56,887,valve 0,open
16,25,56,887,valve 0,close
16,25,56,887,valve 0,open
16,25,56,888,valve 0,close
16,25,56,888,valve 0,open
16,25,56,888,valve 0,close
16,25,56,888,valve 0,open
16,25,56,888,valve 0,close
16,25,56,888,valve 0,open
16,25,56,888,valve 0,close
16,25,56,888,valve 0,open
16,25,56,888,valve 0,close
16,25,56,888,valve 0,open
16,25,56,889,valve 0,close
16,25,56,889,valve 0,open
16,25,56,889,valve 0,close
16,25,56,889,valve 0,open
16,25,56,889,valve 0,close
16,25,56,889,valve 0,open
16,25,56,889,valve 0,close
16,25,56,889,valve 0,open
16,25,56,889,valve 0,close
16,25,56,889,valve 0,open
16,25,56,889,valve 0,close
16,25,56,890,valve 0,open
16,25,56,890,valve 0,close
16,25,56,890,valve 0,open
16,25,56,890,valve 0,close
16,25,56,890,valve 0,open
16,25,56,890,valve 0,close
16,25,56,890,valve 0,open
16,25,56,890,valve 0,close
16,25,56,890,valve 0,open
16,25,56,890,valve 0,close
16,25,56,890,valve 0,open
16,25,56,891,valve 0,close
16,25,56,891,valve 0,open
16,25,56,891,valve 0,close
16,25,56,891,valve 0,open
16,25,56,891,valve 0,close
16,25,56,891,valve 0,open
16,25,56,891,valve 0,close
16,25,56,891,valve 0,open
16,25,56,891,valve 0,close
16,25,56,891,valve 0,open
16,25,56,891,valve 0,close
16,25,56,892,valve 0,open
16,25,56,892,valve 0,close
16,25,56,892,valve 0,open
16,25,56,892,valve 0,close
16,25,56,892,valve 0,open
16,25,56,892,valve 0,close
16,25,56,892,valve 0,open
16,25,56,892,valve 0,close
16,25,56,892,valve 0,open
16,25,56,892,valve 0,close
16,25,56,893,valve 0,open
16,25,56,893,valve 0,close
16,25,56,893,valve 0,open
16,25,56,893,valve 0,close
16,25,56,893,valve 0,open
16,25,56,893,valve 0,close
16,25,56,893,valve 0,open
16,25,56,893,valve 0,close
16,25,56,893,valve 0,open
16,25,56,893,valve 0,close
16,25,56,893,valve 0,open
16,25,56,894,valve 0,close
16,25,56,894,valve 0,open
16,25,56,894,valve 0,close
16,25,56,894,valve 0,open
16,25,56,894,valve 0,close
16,25,56,894,valve 0,open
16,25,56,894,valve 0,close
16,25,56,894,valve 0,open
16,25,56,894,valve 0,close
16,25,56,894,valve 0,open
16,25,56,894,valve 0,close
16,25,56,895,valve 0,open
16,25,56,895,valve 0,close
16,25,56,895,valve 0,open
16,25,56,895,valve 0,close
16,25,56,895,valve 0,open
16,25,56,895,valve 0,close
16,25,56,895,valve 0,open
16,25,56,895,valve 0,close
16,25,56,895,valve 0,open
16,25,56,895,valve 0,close
16,25,56,895,valve 0,open
16,25,56,895,valve 0,close
16,25,56,896,valve 0,open
16,25,56,896,valve 0,close
16,25,56,896,valve 0,open
16,25,56,896,valve 0,close
16,25,56,896,valve 0,open
16,25,56,896,valve 0,close
16,25,56,896,valve 0,open
16,25,56,896,valve 0,close
16,25,56,896,valve 0,open
16,25,56,896,valve 0,close
16,25,56,897,valve 0,open
16,25,56,897,valve 0,close
16,25,56,897,valve 0,open
16,25,56,897,valve 0,close
16,25,56,897,valve 0,open
16,25,56,897,valve 0,close
16,25,56,897,valve 0,open
16,25,56,897,valve 0,close
16,25,56,897,valve 0,open
16,25,56,897,valve 0,close
16,25,56,898,valve 0,open
16,25,56,898,valve 0,close
16,25,56,898,valve 0,open
16,25,56,898,valve 0,close
16,25,56,898,valve 0,open
16,25,56,898,valve 0,close
