Hour,Minute,Second,millisecond,Device,DeviceNumAction
15,41,45,99,Pump 0,Response: :
15,41,45,200,Pump 0,Response: :
15,41,45,301,Pump 1,Response: :
15,41,45,401,Pump 1,Response: :
15,41,45,402,pump 0,infuse
15,41,45,402,valve 0,open
15,41,45,412,Pump 0,Response: >
15,41,45,552,pump 0,stop
15,41,45,552,pump 1,infuse
15,41,45,553,valve 0,close
15,41,45,553,valve 1,open
15,41,45,562,Pump 0,Response: :
15,41,45,562,Pump 1,Response: 
15,41,45,702,pump 1,stop
15,41,45,703,pump 0,infuse
15,41,45,704,valve 0,open
15,41,45,704,valve 1,close
15,41,45,712,Pump 1,"Response: >
:"
15,41,45,712,Pump 0,Response: >
15,41,45,852,pump 0,stop
15,41,45,852,pump 1,infuse
15,41,45,853,valve 0,close
15,41,45,853,valve 1,open
15,41,45,862,Pump 0,Response: :
15,41,45,862,Pump 1,Response: >
15,41,46,2,pump 1,stop
15,41,46,2,pump 0,infuse
15,41,46,2,valve 0,open
15,41,46,3,valve 1,close
15,41,46,12,Pump 1,Response: :
15,41,46,12,Pump 0,Response: >
15,41,46,152,pump 0,stop
15,41,46,152,pump 1,infuse
15,41,46,152,valve 0,close
15,41,46,153,valve 1,open
15,41,46,162,Pump 0,Response: :
15,41,46,162,Pump 1,Response: >
15,41,46,302,pump 1,stop
15,41,46,302,pump 0,infuse
15,41,46,303,valve 0,open
15,41,46,303,valve 1,close
15,41,46,312,Pump 1,Response: :
15,41,46,312,Pump 0,Response: >
15,41,46,452,pump 0,stop
15,41,46,452,pump 1,infuse
15,41,46,452,valve 0,close
15,41,46,453,valve 1,open
15,41,46,462,Pump 0,Response: :
15,41,46,462,Pump 1,Response: >
15,41,46,602,pump 1,stop
15,41,46,602,pump 0,infuse
15,41,46,602,valve 0,open
15,41,46,602,valve 1,close
15,41,46,612,Pump 1,Response: :
15,41,46,612,Pump 0,Response: >
15,41,46,752,pump 0,stop
15,41,46,752,pump 1,infuse
15,41,46,753,valve 0,close
15,41,46,753,valve 1,open
15,41,46,762,Pump 0,Response: :
15,41,46,762,Pump 1,Response: >
15,41,46,903,pump 1,stop
15,41,46,903,pump 0,infuse
15,41,46,903,valve 0,open
15,41,46,904,valve 1,close
15,41,46,912,Pump 1,Response: :
15,41,46,912,Pump 0,Response: >
15,41,47,52,pump 0,stop
15,41,47,52,pump 1,infuse
15,41,47,53,valve 0,close
15,41,47,53,valve 1,open
15,41,47,62,Pump 0,Response: :
15,41,47,62,Pump 1,Response: >
15,41,47,202,pump 1,stop
15,41,47,202,pump 0,infuse
15,41,47,203,valve 0,open
15,41,47,203,valve 1,close
15,41,47,212,Pump 1,Response: :
15,41,47,212,Pump 0,Response: >
15,41,47,352,pump 0,stop
15,41,47,352,pump 1,infuse
15,41,47,352,valve 0,close
15,41,47,352,valve 1,open
15,41,47,362,Pump 0,Response: :
15,41,47,362,Pump 1,Response: >
15,41,47,502,pump 1,stop
15,41,47,502,pump 0,infuse
15,41,47,502,valve 0,open
15,41,47,503,valve 1,close
15,41,47,512,Pump 1,Response: :
15,41,47,512,Pump 0,Response: >
15,41,47,652,pump 0,stop
15,41,47,652,pump 1,infuse
15,41,47,653,valve 0,close
15,41,47,653,valve 1,open
15,41,47,662,Pump 0,Response: :
