Hour,Minute,Second,millisecond,Device,DeviceNumAction
20,48,7,75,Pump 0,Response: set diameter 23
20,48,7,176,Pump 0,"Response: set rate 1
set diameter = 23
>"
20,48,7,278,Pump 1,Response: set diameter 23
20,48,7,380,Pump 1,"Response: set rate 1
set diameter = 23
>"
20,48,7,381,pump 0,infuse
20,48,7,981,pump 1,infuse
20,48,7,983,pump 0,stop
20,48,8,581,pump 0,infuse
20,48,8,582,pump 1,stop
20,48,9,180,pump 1,infuse
20,48,9,181,pump 0,stop
20,48,9,780,pump 0,infuse
20,48,9,781,pump 1,stop
20,48,10,381,pump 1,infuse
20,48,10,382,pump 0,stop
20,48,10,980,pump 0,infuse
20,48,10,985,pump 1,stop
20,48,11,581,pump 1,infuse
20,48,11,582,pump 0,stop
20,48,12,181,pump 0,infuse
20,48,12,182,pump 1,stop
20,48,12,780,pump 1,infuse
20,48,12,782,pump 0,stop
20,48,13,380,pump 0,infuse
20,48,13,382,pump 1,stop
20,48,13,980,pump 1,infuse
20,48,13,982,pump 0,stop
20,48,14,580,pump 0,infuse
20,48,14,583,pump 1,stop
20,48,15,180,pump 1,infuse
20,48,15,182,pump 0,stop
20,48,15,781,pump 0,infuse
20,48,15,783,pump 1,stop
20,48,16,381,pump 1,infuse
20,48,16,382,pump 0,stop
20,48,16,980,pump 0,infuse
20,48,16,982,pump 1,stop
20,48,17,581,pump 1,infuse
20,48,17,582,pump 0,stop
20,48,18,181,pump 0,infuse
20,48,18,182,pump 1,stop
20,48,18,780,pump 1,infuse
20,48,18,782,pump 0,stop
20,48,19,380,pump 0,infuse
20,48,19,382,pump 1,stop
20,48,19,981,pump 1,infuse
20,48,19,982,pump 0,stop
20,48,20,580,pump 0,infuse
20,48,20,582,pump 1,stop
20,48,21,181,pump 1,infuse
20,48,21,183,pump 0,stop
20,48,21,781,pump 0,infuse
20,48,21,782,pump 1,stop
20,48,22,380,pump 1,infuse
20,48,22,382,pump 0,stop
20,48,22,980,pump 0,infuse
20,48,22,982,pump 1,stop
20,48,23,580,pump 1,infuse
20,48,23,581,pump 0,stop
20,48,24,181,pump 0,infuse
20,48,24,182,pump 1,stop
20,48,24,781,pump 1,infuse
20,48,24,782,pump 0,stop
20,48,25,381,pump 0,infuse
20,48,25,382,pump 1,stop
20,48,25,981,pump 1,infuse
20,48,25,983,pump 0,stop
20,48,26,580,pump 0,infuse
20,48,26,581,pump 1,stop
20,48,27,180,pump 1,infuse
20,48,27,181,pump 0,stop
20,48,27,780,pump 0,infuse
20,48,27,781,pump 1,stop
20,48,28,380,pump 1,infuse
20,48,28,381,pump 0,stop
20,48,28,980,pump 0,infuse
20,48,28,982,pump 1,stop
20,48,29,580,pump 1,infuse
20,48,29,582,pump 0,stop
20,48,30,180,pump 0,infuse
20,48,30,181,pump 1,stop
20,48,30,781,pump 1,infuse
20,48,30,783,pump 0,stop
20,48,31,380,pump 0,infuse
20,48,31,381,pump 1,stop
20,48,31,980,pump 1,infuse
20,48,31,981,pump 0,stop
20,48,32,580,pump 0,infuse
20,48,32,581,pump 1,stop
20,48,33,180,pump 1,infuse
20,48,33,181,pump 0,stop
20,48,33,781,pump 0,infuse
20,48,33,782,pump 1,stop
20,48,34,382,pump 1,infuse
20,48,34,383,pump 0,stop
20,48,34,980,pump 0,infuse
20,48,34,981,pump 1,stop
20,48,35,581,pump 1,infuse
20,48,35,582,pump 0,stop
