Hour,Minute,Second,millisecond,Device,DeviceNumAction
13,45,58,747,pump0,infuse
13,45,59,160,pump0,stop
13,45,59,562,pump0,infuse
13,45,59,964,pump1,infuse
13,46,0,378,pump0,stop
13,46,0,781,pump1,stop
13,46,1,186,pump0,infuse
13,46,1,589,pump1,infuse
13,46,2,2,pump0,stop
13,46,2,405,pump1,stop
13,46,2,807,pump0,infuse
13,46,3,210,pump1,infuse
13,46,3,623,pump0,stop
13,46,4,25,pump1,stop
13,46,4,427,pump0,infuse
13,46,4,831,pump1,infuse
13,46,5,244,pump0,stop
13,46,5,647,pump1,stop
13,46,6,49,pump0,infuse
13,46,6,451,pump1,infuse
13,46,6,865,pump0,stop
13,46,7,271,pump1,stop
13,46,7,673,pump0,infuse
13,46,8,75,pump1,infuse
13,46,8,487,pump0,stop
13,46,8,889,pump1,stop
13,46,9,294,pump0,infuse
13,46,9,696,pump1,infuse
13,46,10,108,pump0,stop
13,46,10,512,pump1,stop
13,46,10,914,pump0,infuse
13,46,11,317,pump1,infuse
13,46,11,731,pump0,stop
13,46,12,133,pump1,stop
13,46,12,535,pump0,infuse
13,46,12,938,pump1,infuse
13,46,13,351,pump0,stop
13,46,13,754,pump1,stop
13,46,14,157,pump0,infuse
13,46,14,559,pump1,infuse
13,46,14,973,pump0,stop
13,46,15,375,pump1,stop
13,46,15,778,pump0,infuse
13,46,16,180,pump1,infuse
13,46,16,593,pump0,stop
13,46,16,996,pump1,stop
13,46,17,402,pump0,infuse
13,46,17,805,pump1,infuse
13,46,18,218,pump0,stop
13,46,18,621,pump1,stop
13,46,19,24,pump0,infuse
13,46,19,433,pump1,infuse
13,46,19,847,pump0,stop
13,46,20,248,pump1,stop
13,46,20,651,pump0,infuse
13,46,21,54,pump1,infuse
