Hour,Minute,Second,millisecond,Device,DeviceNumAction
14,50,38,65,Pump 0,Response: :
14,50,38,166,Pump 0,Response: :
14,50,38,267,Pump 1,Response: :
14,50,38,367,Pump 1,Response: :
14,50,38,368,pump 0,infuse
14,50,38,368,valve 0,open
14,50,38,378,Pump 0,Response: >
14,50,38,518,pump 0,stop
14,50,38,518,pump 1,infuse
14,50,38,518,valve 0,close
14,50,38,519,valve 1,open
14,50,38,528,Pump 0,Response: :
14,50,38,528,Pump 1,Response: 
14,50,38,668,pump 1,stop
14,50,38,668,pump 0,infuse
14,50,38,669,valve 0,open
14,50,38,669,valve 1,close
14,50,38,678,Pump 1,"Response: >
:"
14,50,38,678,Pump 0,Response: >
14,50,38,818,pump 0,stop
14,50,38,818,pump 1,infuse
14,50,38,818,valve 0,close
14,50,38,819,valve 1,open
14,50,38,828,Pump 0,Response: :
14,50,38,828,Pump 1,Response: >
14,50,38,968,pump 1,stop
14,50,38,968,pump 0,infuse
14,50,38,968,valve 0,open
14,50,38,968,valve 1,close
14,50,38,978,Pump 1,Response: :
14,50,38,978,Pump 0,Response: >
14,50,39,118,pump 0,stop
14,50,39,118,pump 1,infuse
14,50,39,119,valve 0,close
14,50,39,119,valve 1,open
14,50,39,128,Pump 0,Response: :
14,50,39,128,Pump 1,Response: >
14,50,39,268,pump 1,stop
14,50,39,268,pump 0,infuse
14,50,39,268,valve 0,open
14,50,39,268,valve 1,close
14,50,39,278,Pump 1,Response: :
14,50,39,278,Pump 0,Response: >
14,50,39,418,pump 0,stop
14,50,39,418,pump 1,infuse
14,50,39,418,valve 0,close
14,50,39,418,valve 1,open
14,50,39,428,Pump 0,Response: :
14,50,39,428,Pump 1,Response: >
14,50,39,568,pump 1,stop
14,50,39,568,pump 0,infuse
14,50,39,569,valve 0,open
14,50,39,569,valve 1,close
14,50,39,578,Pump 1,Response: :
14,50,39,578,Pump 0,Response: >
14,50,39,718,pump 0,stop
14,50,39,718,pump 1,infuse
