Hour,Minute,Second,millisecond,Device,DeviceNumAction
15,40,26,846,pump0,infuse
15,40,26,997,pump0,stop
15,40,26,999,pump1,infuse
15,40,27,146,pump1,stop
15,40,27,147,pump0,infuse
15,40,27,297,pump0,stop
15,40,27,299,pump1,infuse
15,40,27,446,pump1,stop
15,40,27,448,pump0,infuse
15,40,27,597,pump0,stop
15,40,27,599,pump1,infuse
15,40,27,748,pump1,stop
15,40,27,749,pump0,infuse
15,40,27,897,pump0,stop
15,40,27,898,pump1,infuse
15,40,28,47,pump1,stop
15,40,28,49,pump0,infuse
15,40,28,197,pump0,stop
15,40,28,198,pump1,infuse
15,40,28,347,pump1,stop
15,40,28,352,pump0,infuse
15,40,28,497,pump0,stop
15,40,28,498,pump1,infuse
15,40,28,647,pump1,stop
15,40,28,648,pump0,infuse
15,40,28,797,pump0,stop
15,40,28,799,pump1,infuse
15,40,28,947,pump1,stop
15,40,28,949,pump0,infuse
15,40,29,97,pump0,stop
15,40,29,99,pump1,infuse
15,40,29,247,pump1,stop
15,40,29,249,pump0,infuse
15,40,29,396,pump0,stop
15,40,29,398,pump1,infuse
15,40,29,548,pump1,stop
15,40,29,550,pump0,infuse
15,40,29,696,pump0,stop
15,40,29,698,pump1,infuse
15,40,29,847,pump1,stop
15,40,29,848,pump0,infuse
15,40,29,997,pump0,stop
15,40,29,998,pump1,infuse
15,40,30,147,pump1,stop
15,40,30,149,pump0,infuse
15,40,30,296,pump0,stop
15,40,30,297,pump1,infuse
15,40,30,447,pump1,stop
15,40,30,448,pump0,infuse
15,40,30,596,pump0,stop
15,40,30,597,pump1,infuse
15,40,30,747,pump1,stop
15,40,30,749,pump0,infuse
