Hour,Minute,Second,millisecond,Device,DeviceNumAction
16,38,49,436,pump0,infuse
16,38,49,738,pump1,infuse
16,38,49,741,pump0,stop
16,38,50,37,pump0,infuse
16,38,50,39,pump1,stop
16,38,50,337,pump1,infuse
16,38,50,339,pump0,stop
16,38,50,638,pump0,infuse
16,38,50,639,pump1,stop
16,38,50,937,pump1,infuse
16,38,50,939,pump0,stop
16,38,51,237,pump0,infuse
16,38,51,239,pump1,stop
16,38,51,538,pump1,infuse
16,38,51,539,pump0,stop
16,38,51,838,pump0,infuse
16,38,51,838,pump1,stop
16,38,52,137,pump1,infuse
16,38,52,138,pump0,stop
16,38,52,437,pump0,infuse
16,38,52,441,pump1,stop
16,38,52,737,pump1,infuse
16,38,52,738,pump0,stop
16,38,53,37,pump0,infuse
16,38,53,39,pump1,stop
16,38,53,337,pump1,infuse
16,38,53,338,pump0,stop
16,38,53,635,pump0,infuse
16,38,53,638,pump1,stop
16,38,53,937,pump1,infuse
16,38,53,939,pump0,stop
16,38,54,237,pump0,infuse
16,38,54,238,pump1,stop
16,38,54,536,pump1,infuse
16,38,54,539,pump0,stop
16,38,54,837,pump0,infuse
16,38,54,838,pump1,stop
16,38,55,137,pump1,infuse
16,38,55,138,pump0,stop
16,38,55,437,pump0,infuse
16,38,55,438,pump1,stop
16,38,55,737,pump1,infuse
16,38,55,738,pump0,stop
16,38,56,37,pump0,infuse
16,38,56,39,pump1,stop
16,38,56,337,pump1,infuse
16,38,56,339,pump0,stop
16,38,56,637,pump0,infuse
16,38,56,638,pump1,stop
16,38,56,936,pump1,infuse
16,38,56,937,pump0,stop
16,38,57,237,pump0,infuse
16,38,57,239,pump1,stop
16,38,57,536,pump1,infuse
16,38,57,538,pump0,stop
16,38,57,837,pump0,infuse
16,38,57,841,pump1,stop
16,38,58,137,pump1,infuse
16,38,58,138,pump0,stop
16,38,58,437,pump0,infuse
16,38,58,439,pump1,stop
16,38,58,737,pump1,infuse
16,38,58,739,pump0,stop
16,38,59,37,pump0,infuse
16,38,59,38,pump1,stop
16,38,59,337,pump1,infuse
16,38,59,338,pump0,stop
16,38,59,637,pump0,infuse
16,38,59,639,pump1,stop
16,38,59,937,pump1,infuse
16,38,59,944,pump0,stop
16,39,0,237,pump0,infuse
16,39,0,238,pump1,stop
16,39,0,537,pump1,infuse
16,39,0,539,pump0,stop
16,39,0,836,pump0,infuse
16,39,0,838,pump1,stop
16,39,1,137,pump1,infuse
16,39,1,139,pump0,stop
16,39,1,437,pump0,infuse
16,39,1,438,pump1,stop
16,39,1,736,pump1,infuse
16,39,1,737,pump0,stop
16,39,2,37,pump0,infuse
16,39,2,38,pump1,stop
