Hour,Minute,Second,millisecond,Device,DeviceNumAction
15,46,41,819,pump0,infuse
15,46,42,422,pump0,stop
15,46,42,425,pump1,infuse
15,46,43,21,pump1,stop
15,46,43,23,pump0,infuse
15,46,43,621,pump0,stop
15,46,43,623,pump1,infuse
15,46,44,221,pump1,stop
15,46,44,223,pump0,infuse
15,46,44,820,pump0,stop
15,46,44,823,pump1,infuse
15,46,45,420,pump1,stop
15,46,45,422,pump0,infuse
15,46,46,20,pump0,stop
15,46,46,22,pump1,infuse
15,46,46,620,pump1,stop
15,46,46,623,pump0,infuse
15,46,47,221,pump0,stop
15,46,47,222,pump1,infuse
15,46,47,821,pump1,stop
15,46,47,825,pump0,infuse
15,46,48,422,pump0,stop
15,46,48,424,pump1,infuse
15,46,49,20,pump1,stop
15,46,49,21,pump0,infuse
15,46,49,620,pump0,stop
15,46,49,623,pump1,infuse
15,46,50,220,pump1,stop
15,46,50,222,pump0,infuse
15,46,50,820,pump0,stop
15,46,50,821,pump1,infuse
15,46,51,422,pump1,stop
15,46,51,425,pump0,infuse
15,46,52,21,pump0,stop
15,46,52,22,pump1,infuse
15,46,52,622,pump1,stop
15,46,52,622,pump0,infuse
15,46,53,221,pump0,stop
15,46,53,225,pump1,infuse
15,46,53,821,pump1,stop
15,46,53,822,pump0,infuse
15,46,54,420,pump0,stop
15,46,54,421,pump1,infuse
15,46,55,21,pump1,stop
15,46,55,23,pump0,infuse
15,46,55,621,pump0,stop
15,46,55,624,pump1,infuse
15,46,56,221,pump1,stop
15,46,56,222,pump0,infuse
15,46,56,820,pump0,stop
15,46,56,822,pump1,infuse
15,46,57,421,pump1,stop
15,46,57,422,pump0,infuse
15,46,58,19,pump0,stop
15,46,58,21,pump1,infuse
15,46,58,622,pump1,stop
15,46,58,624,pump0,infuse
15,46,59,220,pump0,stop
15,46,59,222,pump1,infuse
15,46,59,820,pump1,stop
15,46,59,822,pump0,infuse
15,47,0,421,pump0,stop
15,47,0,422,pump1,infuse
15,47,1,21,pump1,stop
15,47,1,22,pump0,infuse
15,47,1,620,pump0,stop
15,47,1,622,pump1,infuse
15,47,2,220,pump1,stop
15,47,2,222,pump0,infuse
15,47,2,820,pump0,stop
15,47,2,821,pump1,infuse
15,47,3,421,pump1,stop
15,47,3,422,pump0,infuse
15,47,4,21,pump0,stop
15,47,4,23,pump1,infuse
15,47,4,621,pump1,stop
15,47,4,622,pump0,infuse
15,47,5,220,pump0,stop
15,47,5,222,pump1,infuse
15,47,5,821,pump1,stop
15,47,5,822,pump0,infuse
15,47,6,421,pump0,stop
15,47,6,425,pump1,infuse
15,47,7,20,pump1,stop
15,47,7,22,pump0,infuse
15,47,7,621,pump0,stop
15,47,7,622,pump1,infuse
15,47,8,221,pump1,stop
15,47,8,223,pump0,infuse
15,47,8,821,pump0,stop
15,47,8,822,pump1,infuse
15,47,9,421,pump1,stop
15,47,9,422,pump0,infuse
15,47,10,20,pump0,stop
15,47,10,22,pump1,infuse
15,47,10,620,pump1,stop
15,47,10,622,pump0,infuse
15,47,11,220,pump0,stop
15,47,11,222,pump1,infuse
15,47,11,820,pump1,stop
15,47,11,821,pump0,infuse
15,47,12,421,pump0,stop
15,47,12,423,pump1,infuse
15,47,13,19,pump1,stop
15,47,13,20,pump0,infuse
15,47,13,620,pump0,stop
15,47,13,621,pump1,infuse
15,47,14,221,pump1,stop
15,47,14,223,pump0,infuse
15,47,14,821,pump0,stop
