Hour,Minute,Second,millisecond,Device,DeviceNumAction
16,48,49,898,Pump 0,Response: :
16,48,49,999,Pump 0,Response: :
16,48,50,100,Pump 1,Response: :
16,48,50,201,Pump 1,Response: :
16,48,50,201,Pump 0,infuse
16,48,50,202,valve 0,open
16,48,50,202,valve 2,open
16,48,50,304,Pump 0,Response: :
16,48,54,953,Pump 0,stop
16,48,54,953,Pump 1,infuse
16,48,54,953,valve 0,close
16,48,54,953,valve 1,open
16,48,54,954,valve 2,close
16,48,55,55,Pump 0,Response: :
16,48,55,55,Pump 1,Response: :
16,48,55,156,valve 3,open
16,49,2,871,Pump 1,stop
16,49,2,872,Pump 0,infuse
16,49,2,872,valve 0,open
16,49,2,872,valve 1,close
16,49,2,872,valve 2,open
16,49,2,872,valve 3,close
16,49,2,976,Pump 1,Response: :
16,49,2,976,Pump 0,Response: :
16,49,7,623,Pump 0,stop
16,49,7,624,Pump 1,infuse
16,49,7,624,valve 0,close
16,49,7,624,valve 1,open
16,49,7,624,valve 2,close
16,49,7,729,Pump 0,Response: :
16,49,7,729,Pump 1,Response: :
16,49,7,820,valve 3,open
16,49,15,545,Pump 1,stop
16,49,15,546,Pump 0,infuse
16,49,15,546,valve 0,open
16,49,15,547,valve 1,close
16,49,15,547,valve 2,open
16,49,15,547,valve 3,close
16,49,15,639,Pump 1,Response: :
16,49,15,639,Pump 0,Response: :
16,49,20,295,Pump 0,stop
16,49,20,295,Pump 1,infuse
16,49,20,296,valve 0,close
16,49,20,296,valve 1,open
16,49,20,296,valve 2,close
16,49,20,387,Pump 0,Response: :
16,49,20,387,Pump 1,Response: :
16,49,20,488,valve 3,open
16,49,28,213,Pump 1,stop
16,49,28,214,Pump 0,infuse
16,49,28,214,valve 0,open
16,49,28,215,valve 1,close
16,49,28,215,valve 2,open
16,49,28,215,valve 3,close
16,49,28,307,Pump 1,Response: :
16,49,28,307,Pump 0,Response: :
16,49,32,955,Pump 0,stop
16,49,32,956,Pump 1,infuse
16,49,32,956,valve 0,close
16,49,32,956,valve 1,open
16,49,32,956,valve 2,close
16,49,33,57,Pump 0,Response: :
16,49,33,58,Pump 1,Response: :
16,49,33,159,valve 3,open
16,49,40,872,Pump 1,stop
16,49,40,873,Pump 0,infuse
16,49,40,874,valve 0,open
16,49,40,874,valve 1,close
16,49,40,874,valve 2,open
16,49,40,874,valve 3,close
16,49,40,976,Pump 1,Response: :
16,49,40,976,Pump 0,Response: :
16,49,45,633,Pump 0,stop
16,49,45,634,Pump 1,infuse
16,49,45,634,valve 0,close
16,49,45,634,valve 1,open
16,49,45,635,valve 2,close
16,49,45,727,Pump 0,Response: :
16,49,45,728,Pump 1,Response: :
16,49,45,830,valve 3,open
16,49,50,204,Pump 0,stop
16,49,50,205,Pump 1,stop
16,49,50,206,valve 0,open
16,49,50,206,valve 1,open
16,49,50,206,valve 2,open
16,49,50,207,valve 3,open
